https://im.mashina.kg/tachka/images//e/c/e/ecee40234b9de21d85fc40b92e4d293e_240x180.jpg,$ 36 000,Kia Stinger,"2017 г., 3.3 л., автомат лифтбек, бензин руль слева, 126 000 км"
https://im.mashina.kg/tachka/images//1/8/a/18a738082fbec3f5048bcf1a3c6a90af_240x180.jpg,$ 135 000,Lexus LX,"2018 г., 5.7 л., автомат внедорожник 5 дв., бензин руль слева, 54 000 км"
https://im.mashina.kg/tachka/images//6/e/c/6ece1b70decae24d3a35f3ae7f9bd6b2_240x180.jpg,$ 42 000,Kia Sportage,"2022 г., 2.5 л., автомат внедорожник 5 дв., бензин руль слева, 3 800 км"
https://im.mashina.kg/tachka/images//9/2/9/92981baca26705ca1a726f9e5e4f5aff_240x180.jpg,$ 45 000,Lexus RX,"2017 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 90 000 км"
https://im.mashina.kg/tachka/images//8/9/4/89435dbf4f657ca925780b482c263b17_240x180.jpg,$ 30 000,Toyota Camry,"2018 г., 2.5 л., вариатор седан, гибрид руль слева, 80 000 км"
https://im.mashina.kg/tachka/images//0/2/8/0285ac64612c65a43d344b5d2e38deec_240x180.jpg,$ 54 000,Toyota Camry,"2023 г., 2.5 л., вариатор седан, гибрид руль слева, 30 км"
https://im.mashina.kg/tachka/images//e/3/f/e3f765c29a057355694c2ae400e8f052_240x180.jpg,$ 48 000,BMW X5,"2018 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 92 000 км"
https://im.mashina.kg/tachka/images//c/a/6/ca6d47b0591f517603a0632d547875d6_240x180.jpg,$ 42 000,BMW 7 серии,"2018 г., 2 л., автомат седан, бензин руль слева, 30 600 км"
https://im.mashina.kg/tachka/images//f/9/d/f9d02fbcdac6e4ff7f59fbe663176ffe_240x180.jpg,$ 34 000,Toyota Highlander,"2019 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 130 000 км"
https://im.mashina.kg/tachka/images//c/1/9/c1916e865d4a0a16f34d04093c985a67_240x180.jpg,$ 24 500,Lexus IS,"2016 г., 2 л., автомат седан, бензин руль слева, 157 000 км"
https://im.mashina.kg/tachka/images//8/8/7/8871e093f441a02c92f96811692444d6_240x180.jpg,$ 29 000,Lexus ES,"2015 г., 2.5 л., вариатор седан, гибрид руль слева, 159 000 км"
https://im.mashina.kg/tachka/images//6/e/b/6eb898eb378b1df156910f4e11a8b36f_240x180.jpg,$ 15 900,Toyota Land Cruiser Prado,"2004 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 320 000 км"
https://im.mashina.kg/tachka/images//1/7/c/17c3078cd01fba166502b20c335308c5_240x180.jpg,$ 31 500,Land Rover Discovery Sport,"2018 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 26 000 км"
https://im.mashina.kg/tachka/images//1/0/6/106db1f12ce42580f14f776a8037f86f_240x180.jpg,$ 28 000,Kia K7,"2020 г., 3 л., автомат седан, газ руль слева, 60 800 км"
https://im.mashina.kg/tachka/images//7/6/a/76a4810b71b39f9d39eb19ed70d534e5_240x180.jpg,$ 135 000,BMW X7,"2021 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 17 000 км"
https://im.mashina.kg/tachka/images//0/7/0/0706f1469770b44d449d2c6ecd0a09db_240x180.jpg,$ 23 800,Lexus RX,"2011 г., 3.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 137 000 км"
https://im.mashina.kg/tachka/images//5/6/2/56294748b26c9e1162aa53f1e2f6f34b_240x180.jpg,$ 20 000,Kia Carnival,"2016 г., 2.2 л., автомат минивэн, дизель руль слева, 172 000 км"
https://im.mashina.kg/tachka/images//7/0/8/70867f5801304954c1cd706b6b0449ca_240x180.jpg,$ 12 900,Hyundai Sonata,"2018 г., 2 л., автомат седан, газ руль слева, 180 999 км"
https://im.mashina.kg/tachka/images//a/e/1/ae1251cfad6b6996af8f9bb678449af7_240x180.jpg,$ 7 800,Kia Morning,"2016 г., 1 л., автомат хэтчбек 5 дв., бензин руль слева, 257 000 км"
https://im.mashina.kg/tachka/images//f/1/8/f186add2c2f114d13bb5b707a77544a8_240x180.jpg,$ 22 000,Honda Accord,"2018 г., 1.5 л., вариатор седан, бензин руль слева, 53 000 км"
